name,description
Fission-track,"A thermochronological technique which uses the relationship between linear damage zones (tracks) within a crystal lattice or other material caused by spontaneous fission of a radioactive isotope(s), to the abundance of this radioactive isotope, in order to ascertain an age using the rate of accumulation of spontaneous fission over time. Within many materials, including minerals, these damage tracks are not thermally stable and will repair and anneal over time, dependant on the thermal conditions and other factors such as crystal lattice structure and composition. This dependency on temperature allows for some inference of the thermal history of a sample in addition to the calculated age, by examining the nature of preserved fossil tracks relative to that expected for completely unannealed tracks."
(U-Th)/He,A thermochronological technique based on the production and retention of He-4 atoms by radioactive decay of U and Th (and in some cases Sm) isotopes in a mineral’s crystal lattice. The loss of He-4 atoms is largely thermally controlled where at higher temperatures He atoms diffuse from the lattice and at lower temperature they are retained. Measured (U-Th)/He ages result from amount of production and retention of He-4 over a minerals thermal history.
Ar/Ar,"A geochronological and thermochronological technique capable of addressing questions on the scale of thousands to billions of years. 40Ar/39Ar geochronology can be applied to a wide range of problems in volcanology, igneous petrology, metamorphic petrology, structural geology."
U/Pb,"A geochronological technique which uses the natural radioactive decay of uranium isotopes to stable lead isotopes to determine the age of a material. As isotopes of uranium decay to daughter isotopes of lead at a known rate, measuring these isotope pairs can inform the time since the material was produced or disturbed. Combinations of multiple isotope pairs may be commonly applied to perform more robust calculations, correct for the prescence of non-radiogenic lead, or identify events which fully or partially reset isotopic ratios within a material."
Lu/Hf,
Rb/Sr,
K/Ar,
Pb/Pb,
Sm/Nd,
Th/Pb,
Re/Os,
