name,description,path,UI Unit,Units matched to
Gemstones,,Direct Use Commodity/,,
Industrial Material,,Direct Use Commodity/,,
Industrial Mineral,,Direct Use Commodity/,,
Amber,,Direct Use Commodity/Gemstone/,t,
Apatite Gemstone,,Direct Use Commodity/Gemstone/,,
Beryl,,Direct Use Commodity/Gemstone/,t,
Cassiterite Gemstone,,Direct Use Commodity/Gemstone/,t,
Chrysoberyl,,Direct Use Commodity/Gemstone/,t,
Cordierite,,Direct Use Commodity/Gemstone/,Mc,
Corundum Gemstone,,Direct Use Commodity/Gemstone/,Mc,
Diamond Gemstone,,Direct Use Commodity/Gemstone/,Mc,
Diopside Enstatite,,Direct Use Commodity/Gemstone/,t,
Dioptase,,Direct Use Commodity/Gemstone/,Mc,
Dumortierite,,Direct Use Commodity/Gemstone/,t,
Euclase,,Direct Use Commodity/Gemstone/,Mc,
Feldspar Gemstone,,Direct Use Commodity/Gemstone/,t,
Garnet Gemstone,,Direct Use Commodity/Gemstone/,t,
Hematite Gemstone,,Direct Use Commodity/Gemstone/,,
Jade,,Direct Use Commodity/Gemstone/,,
Kornerupine,,Direct Use Commodity/Gemstone/,Mc,
Kyanite Gemstone,,Direct Use Commodity/Gemstone/,,
Lazulite,,Direct Use Commodity/Gemstone/,kt,
Malachite,,Direct Use Commodity/Gemstone/,t,
Obsidian,,Direct Use Commodity/Gemstone/,,
Olivine Gemstone,,Direct Use Commodity/Gemstone/,t,
Phenakite,,Direct Use Commodity/Gemstone/,Mc,
Prehnite,,Direct Use Commodity/Gemstone/,,
Quartz Gemstone,,Direct Use Commodity/Gemstone/,t,
Rhodonite,,Direct Use Commodity/Gemstone/,Mc,
Sapphirine,,Direct Use Commodity/Gemstone/,,
Scapolite,,Direct Use Commodity/Gemstone/,Mc,
Silica Gemstone,,Direct Use Commodity/Gemstone/,t,
Sinhalite,,Direct Use Commodity/Gemstone/,Mc,
Sodalite,,Direct Use Commodity/Gemstone/,t,
Spinel Gemstone,,Direct Use Commodity/Gemstone/,Mc,
Spodumene,,Direct Use Commodity/Gemstone/,,
Tanzanite,,Direct Use Commodity/Gemstone/,t,
Topaz,,Direct Use Commodity/Gemstone/,t,
Tourmaline,,Direct Use Commodity/Gemstone/,t,
Turquoise,,Direct Use Commodity/Gemstone/,t,
Variscite,,Direct Use Commodity/Gemstone/,,
Vesuvianite,,Direct Use Commodity/Gemstone/,Mc,
