name,description,path,Link,,From:,,http:/resource.geosciml.org/classifier/cgi/mine-status,GA
Not Operating,A mine has been operating and then closed or suspended,,http:/resource.geosciml.org/classifier/cgi/mine-status/not-operating,,,,,
Abandoned,A mine is abandoned - one reason or another,Not Operating/,http:/resource.geosciml.org/classifier/cgi/mine-status/abandoned,,,,,
Care and Maintenance,A mine is under care and maintenance,Not Operating/,http:/resource.geosciml.org/classifier/cgi/mine-status/care-and-maintenance,,,,,
Closed,"A mine can be closed for several reasons, e.g. technical, economical or technico-economical. For example, it may be re-opened if the price of the exploited commodity increases.",Not Operating/,http:/resource.geosciml.org/classifier/cgi/mine-status/closed,,,,,
Historic,"An 'old' mine which has been exploited before 1900, e.g. during Roman times, the Middle Ages, etc.",Not Operating/,http:/resource.geosciml.org/classifier/cgi/mine-status/historic,,,,,
Retention,A mine can be kept unexploited until the price of contained commodity(ies) makes it economical.,Not Operating/,http:/resource.geosciml.org/classifier/cgi/mine-status/retention,,,,,
Operating,A mine is operating,,http:/resource.geosciml.org/classifier/cgi/mine-status/operating,,,,,
Operating Continuously,A mine is operating continuously,Operating/,http:/resource.geosciml.org/classifier/cgi/mine-status/operating-continuously,,,,,
Operating Intermittently,A mine is operating intermittently,Operating/,http:/resource.geosciml.org/classifier/cgi/mine-status/operating-intermittently,,,,,
Under Development,A mine is under development - e.g feasibilty,,http:/resource.geosciml.org/classifier/cgi/mine-status/under-development,,,,,
Construction,A mine is under construction after obtaining licenses/permits,Under Development/,http:/resource.geosciml.org/classifier/cgi/mine-status/construction,,,,,
Feasibility,Technical economic study aimed at assessing the possibility to launching a mine venture.,Under Development/,http:/resource.geosciml.org/classifier/cgi/mine-status/feasibility,,,,,
Pending Approval,"Waiting for the exploitation authorization, generally given by a State Mining Engineering Department.",Under Development/,http:/resource.geosciml.org/classifier/cgi/mine-status/pending-approval,,,,,
No Development,No development activity or feasibility study has been conducted for a prospect,,,,,,,
