id,name,description,entrytype,dispformulasimple,impurities,elements,sigelements,tlform,language,languagemain,occurrence,otheroccurrence,diapheny,cleavage,parting,tenacity,colour,opticalextinction,fracture,hmin,hmax,lustre,lustretype,specificgravity,streak,varietyof,synid,polytypeof,crystalform,trans,strunz1,strunz2,strunz3,strunz4,strunz9ed1,strunz9ed2,strunz9ed3,strunz9ed4,strunz10ed1,strunz10ed2,strunz10ed3,strunz10ed4,series1,series2,series3,dana1,dana2,dana3,dana4,dana8ed1,dana8ed2,dana8ed3,dana8ed4,spacing,csystem,cclass,spacegroup,a,b,c,alpha,beta,gamma,aerror,berror,cerror,alphaerror,betaerror,gammaerror,va3,z,dmeas,dmeas2,dcalc,dmeaserror,dcalcerror,cleavagetype,fracturetype,morphology,opticalbireferror,specdispm,spacegroupset,formulanotes,ima_status,rock_parent,rock_parent2,rock_root
1,Abelsonite,"Chemically a nickel porphyrine derivative, classified as <strong>deoxophylloerythroetioporphyrin</strong>. Unique combination of elements; the only organonickel mineral known. Formed at depth (Milton et al., 1978), likely from a chlorophyll (but likely not the chlorophyll-d) (Storm et al., 1984).

Abelsonite is accompanied by its structural norisomer; the surrounding shale contains other Ni porphyrins, which represent a series of more extended homologues.

Structure details (Storm et al., 1984): (1) methyl groups in the 2, 3, 7, 12, and 18 positions, (2) ethyl group in the 8 and 17 positions. According to Milton et al.(1978) the molecules in abelsonite are not planar. The substitution pattern in the mineral is genetically related to a typical chlorophyll. The potential precursor to abelsonite is 17-desethyl, 17-propionic acid.

Worth of notice is an unnamed mineral coded as <m>'UM1984-14-CH:ClNOV'</m>, which is a natural vanadyl deoxophylloerythroetioporphyrin, the second known metalloporphyrin mineral, although not isostructural with abelsonite.",0,Ni(C<sub>31</sub>H<sub>32</sub>N<sub>4</sub>),,-Ni-N-C-H-,-Ni-N-C-H-,"Aggregates of platy crystals; as patches, sometimes over 2 mm in diameter",",en,",",fr,it,","Mahogany Zone oil shale; found in six stratigraphical zones ( M9, M7, M2, L6, L0, and K1); its genesis is connected with unique geochemical conditions of Lake Uinta; likely formed due to chlorophyll diagenesis; abelsonite's relatively insoluble precursor was likely transported by an aqueous solution towards sediments of favorable lithology","Small aggregates, to 1 cm, of thin laths or
plates. Of secondary origin on fracture surfaces in oil shale.",NULL,Probable on <mi>{11_1}</mi>.,,,"Pink-purple, dark greyish purple, pale purplish red, reddish brown.",,NULL,2,3,Sub-metallic to adamantine,"Adamantine,Sub-Metallic",1.4,pink,0,0,0,NULL,NULL,9,A,2,60,10,C,0,A.20,10,C,A,20,0,0,0,50,4,9,1,50,4,9,1,,Triclinic,2,2,8.4416,10.8919,7.2749,90.465,113.158,78.08,5,70,40,2,2,2,0,1,1.33,1.48,1.45,0,0,Poor/Indistinct,NULL,,0,,0,,1,0,0,0
2,Abenakiite-(Ce),"Unique chemistry (the only Na-REE-Si-P-C mineral). Chemistry comparable to that of <m>steenstrupine-(Ce)</m>.

Currently the only mineral with a supposed sulphur dioxide ligand. 
Originally a single grain was found, making the mineral exceedingly rare. 

Hexagonal net of the structure contains (1) chains of NaO<sub>7</sub> polyhedra connected with phosphate groups, (2) six-membered ring of SiO<sub>4</sub>, NaO<sub>7</sub> and NaO<sub>7</sub>-(REE)O<sub>8</sub> polyhedra, forming columns, (3) carbonate and SO<sub>2</sub> groups, and NaO<sub>6</sub> octahedra, within the columns. In terms of the linkage of six-member silicate ring and NaO<sub>6</sub> octahedron, abenakiite-(Ce) may be compared to <m>kazakovite</m> and steenstrupine-(Ce) (McDonald et al., 1994).

Infrared data for an S-deficient and H<sub>2</sub>O-bearing variety <strong>or a related species</strong> from the Sirenevaya pegmatite is given by Chukanov (2014). The mineral occurs as a yellow-grey grain in ussingite, and its empirical formula is reported as (Na<sub>5.55</sub>K<sub>0.17</sub>Ca<sub>0.04</sub>)(Ce<sub>3.34</sub>La<sub>1.71</sub>Nd<sub>1.20</sub>Pr<sub>0.46</sub>Th<sub>0.12</sub>)(Si<sub>5.97</sub>P<sub>6.86</sub>S<sub>0.17</sub>)O<sub>x</sub>(CO<sub>3</sub>)<sub>y</sub><sup>.</sup>nH<sub>2</sub>O. This formula doesn't seem to correspond to abenakiite-(Ce) and no XRD data is given to confirm its identity with abenakiite-(Ce). The main IR bands obtained for this material are [cm<sup>-1</sup>]: 3390, 1580sh, 1520, 1140sh, 1070s, 902, 860sh, 615, and 448.",0,Na<sub>26</sub>Ce<sub>6</sub>(Si<sub>6</sub>O<sub>18</sub>)(PO<sub>4</sub>)<sub>6</sub>(CO<sub>3</sub>)<sub>6</sub>(SO<sub>2</sub>)O,,-Ce-Na-Si-O-P-C-S-,-Ce-Na-Si-O-P-C-S-,"A single grain, 2 x 1 mm in size.",",en,",",it,","In a xenolith of sodalite syenite. A late-stage phase, possibly arising from a metasomatic event associated with emplacement of the nepheline syenite.",,NULL,{0001},,brittle,Pale brown,,Conchoidal,4,5,Vitreous,Vitreous,3.21,White,0,0,0,,Transparent,8,E,17,5,9,C,K,10,9,C,K,10,0,0,0,61,4,1,1,61,4,1,1,,Trigonal,10,80,16.018,0,19.761,0,0,0,2,0,2,0,0,0,0,3,3.21,0,3.27,0,0,Poor/Indistinct,Conchoidal,,0,,0,,1,0,0,0
3,Abernathyite,"<m>Meta-autunite Group</m>. Chemically the As analogue of <m>meta-ankoleite</m> (both crystallize in the same point group).

A rare secondary uranium mineral.",0,K(UO<sub>2</sub>)(AsO<sub>4</sub>)&middot;3H<sub>2</sub>O,P,-As-O-K-H-U-,-As-O-K-H-U-,Fine-grained pale yellow flaky mineral,",en,",",it,pt,",Colorado Plateau uranium-vanadium deposit,Oxidation zone of U deposits.,Transparent,Perfect on {001},,brittle,yellow,Parallel,,2.5,3,Vitreous,"Sub-Vitreous,Resinous,Waxy,Greasy",,pale yellow,0,0,0,,NULL,7,E,2,150,8,E,B,15,8,E,B,15,0,0,0,0,0,0,0,40,2a,9,1,,Tetragonal,27,184,7.176,0,18.126,0,0,0,8,0,10,0,0,0,0,4,3.32,0,3.572,0,0,Perfect,NULL,,0,,P4/ncc,,9,0,0,0
4,Abhurite,"A tin hydroxychloride mineral.
This mineral is formed from the reaction of pure tin with sea water, and has exclusively been associated with tin ingots from shipwrecks. If discovered today it would be unlikely this would be accepted as a true mineral. ",0,Sn<sub>21</sub>Cl<sub>16</sub>(OH)<sub>14</sub>O<sub>6</sub>,,-Cl-Sn-O-H-,-Cl-Sn-O-H-,blisterlike protuberances,",,",",it,pt,",On the surface of a tin ingot recovered from a ship wrecked possibly 100 years ago.,On tin ingots corroded by sea-water,Transparent,,,fragile,Colourless,,NULL,2,2,NULL,NULL,4.29,White,0,0,0,NULL,NULL,3,D,5,10,3,D,A,30,3,D,A,30,0,0,0,0,0,0,0,10,5,9,1,,Trigonal,0,0,10.0175,0,44.014,0,0,0,0,0,0,0,0,0,0,3,4.42,0,4.417,0,0,None Observed,Hackly,"Thin, six-sided crystals, platy to tabular on (0001), showing <mi>{01_15}</mi> and {0001}. As cryptocrystalline crusts.  ",0,,0,,1,0,0,0
47036,Potassic-ferro-ferri-katophorite,"Currie and Van Breemen describe ""large crystals,clots and spindles of amphibole"" in the Red Pine Chute gneiss near the margins (normally less than 10m) of the syenite. They provide one EMPA analysis of the amphibole, with a composition near potassic-ferro-ferri-katophorite, using the rules established by Hawthorne et al. (2012)",0,{K}{CaNa}{Fe<sup>2+</sup><sub>4</sub>Fe<sup>3+</sup>}[(AlSi<sub>7</sub>)O<sub>22</sub>](OH)<sub>2</sub>,,-Al-Ca-Fe-Na-Si-O-K-H-,-Al-Ca-Fe-Na-Si-O-K-H-,"""large crystals,clots and spindles of amphibole""",",en,",",,",near the contact between syenite and gneiss,,NULL,,,,,,NULL,0,0,NULL,NULL,NULL,,0,0,0,NULL,NULL,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,,,,,,,0,0,,,,,,,0,0,0,0,0,0,0,0,,,,0,0,,NULL,,0,,0,,0,0,0,0
5,Ablykite,"A clay mineral close to Halloysite. 

Originally described from Ablyk, Uzbekistan. ",0,,,0,,,",en,",",,",,,NULL,,,,,,,0,0,,,,,0,0,0,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,,NULL,,0,NULL,,,0,0,0,0
6,Abraum Salts,"Literally ""waste (dump) salts.""",0,,,0,0,,",en,",",,",,,NULL,,,,,,,0,0,,,,,0,0,0,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,,0,0,,NULL,,0,,0,,0,0,0,0
7,Abrazite,"A synonym of Gismondine or of Phillipsite. [Clark, 1993 - ""Hey's Mineral Index""]  ",0,,,,,,",en,",",,",,,NULL,,,NULL,,,,0,0,,,,,0,0,NULL,,,,,,,,,,,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,,NULL,0,0,,,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,,0,0,,NULL,NULL,0,NULL,,,0,0,0,0
8,Absite,"A variety of Brannerite containing around 12.7% ThO2. 
Originally described from Crocker Well (Crocker's Well), Plumbago homestead, Olary Province, South Australia, Australia. ",0,Ti<sub>7</sub>U<sub>2</sub>ThO<sub>20</sub>&middot;5H<sub>2</sub>O or close,,-Th-Ti-O-H-U-,-Th-Ti-O-H-U-,,",en,",",,",,,NULL,,,,,,NULL,0,0,NULL,NULL,NULL,,754,0,0,NULL,NULL,0,0,0,,0,0,0,,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,,NULL,0,0,,,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,,NULL,NULL,0,NULL,,,0,0,0,0
9,Abswurmbachite,"Forms a series with <m>braunite</m>. The third approved Cu-Mn silicate mineral, as such somewhat similar to <m>dixenite</m> and <m>stavelotite-(La)</m>.",0,CuMn<sup>3+</sup><sub>6</sub>(SiO<sub>4</sub>)O<sub>8</sub>,"Fe, (Al, Ti, Cu, Mg, Ca)",-Cu-Mn-Si-O-,-Cu-Mn-Si-O-,Anhedral grains to 50 microns.,",en,",",it,","In very low-grade, high pressure metamorphic quartzites","In very low-grade, high-pressure metamorphic Mn, Al-rich quartzites.",Opaque,,,,black,,,6.5,6.5,,Metallic,,brownish black,0,0,0,,NULL,8,B,9,5,9,A,G,5,9,A,G,5,0,0,0,0,0,0,0,7,5,1,4,,Tetragonal,27,177,9.406,0,18.546,0,0,0,0,0,0,0,0,0,1640.82,8,0,0,4.96,0,0,None Observed,NULL,,0,,0,,1,0,0,0
